,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP
0,AC,Privada,Urbana,1.0,1.0,0.894245,0.974914
1,AC,Publica,Rural,1.0,0.9976428992339422,-0.348487,-0.311366
2,AC,Publica,Urbana,0.9996632240682533,0.9997754827121689,0.001914,0.155103
3,AL,Privada,Rural,1.0,1.0,0.847652,0.798913
4,AL,Privada,Urbana,0.9994229659549914,0.9994229659549914,0.590846,0.668011
5,AL,Publica,Rural,0.9997428975446716,0.9998714487723358,-0.024667,-0.085148
6,AL,Publica,Urbana,0.9998597967052226,0.9994742376445847,-0.060865,-0.00419
7,AM,Privada,Rural,1.0,1.0,0.327341,0.793441
8,AM,Privada,Urbana,0.9994385176866929,0.9988770353733858,0.705639,0.842498
9,AM,Publica,Rural,0.9993188010899182,0.9990463215258856,-0.5742235,-0.59557
10,AM,Publica,Urbana,0.9996054535092719,0.9996054535092719,-0.0492345,0.094874
11,AP,Privada,Rural,1.0,1.0,-0.444686,-0.687218
12,AP,Privada,Urbana,1.0,0.9982964224872232,0.590894,0.82784
13,AP,Publica,Rural,0.9980891719745223,0.9987261146496815,-0.566407,-0.512933
14,AP,Publica,Urbana,0.9997461284589998,0.9996191926884996,-0.30132899999999996,-0.0923335
15,BA,Privada,Rural,1.0,1.0,-0.188239,-0.39362
16,BA,Privada,Urbana,1.0,1.0,0.716828,0.746559
17,BA,Publica,Rural,0.9997611013229014,0.9995520649804401,-0.405185,-0.402931
18,BA,Publica,Urbana,0.9996065369763739,0.999615687279249,-0.314504,-0.24673899999999999
19,CE,Privada,Urbana,1.0,1.0,0.695602,0.694843
20,CE,Publica,Rural,0.9998605559170772,0.9998605559170772,0.3135745,0.343526
21,CE,Publica,Urbana,0.9996842475984601,0.9997449692141408,0.195135,0.374722
22,DF,Privada,Rural,1.0,1.0,0.407144,0.559896
23,DF,Privada,Urbana,1.0,1.0,0.840119,0.855504
24,DF,Publica,Rural,1.0,0.998289136013687,-0.235369,-0.210411
25,DF,Publica,Urbana,0.9991206398392027,0.9992462627193166,-0.03252,0.088497
26,ES,Privada,Urbana,1.0,0.999462654486835,1.190115,1.052853
27,ES,Publica,Rural,1.0,0.9990766389658357,0.276732,0.283312
28,ES,Publica,Urbana,0.9996965266090987,0.9997517035892626,0.173096,0.279961
29,GO,Privada,Rural,1.0,1.0,0.597031,0.48866
30,GO,Privada,Urbana,1.0,0.9993957703927493,0.821208,0.818585
31,GO,Publica,Rural,1.0,0.9995105237395986,0.049539,0.130253
32,GO,Publica,Urbana,0.9998992008063935,0.9997408020735834,0.260781,0.356761
