,UF_NOME,DEPENDENCIA_NOME,LOCALIZACAO_NOME,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP
33,MA,Privada,Rural,1.0,1.0,0.137704,0.50814
34,MA,Privada,Urbana,1.0,1.0,0.580384,0.6975725
35,MA,Publica,Rural,0.9995971728860732,0.9993408283590288,-0.550486,-0.497734
36,MA,Publica,Urbana,0.9997536864921672,0.9997536864921672,-0.294111,-0.16758450000000003
37,MG,Privada,Rural,1.0,1.0,-0.6060765,-0.1844895
38,MG,Privada,Urbana,1.0,1.0,1.2073209999999999,1.044079
39,MG,Publica,Rural,0.9997777283840854,0.9991109135363414,-0.14492850000000002,-0.0981885
40,MG,Publica,Urbana,0.9996460463375909,0.999565142643326,0.0296995,0.147174
41,MS,Privada,Rural,1.0,1.0,0.7196089999999999,0.05522
42,MS,Privada,Urbana,0.9988551803091014,0.9994275901545506,0.915211,0.853115
43,MS,Publica,Rural,0.999546485260771,1.0,-0.417793,-0.402785
44,MS,Publica,Urbana,0.9998441092793952,0.9995323278381855,-0.043395,0.066555
45,MT,Privada,Rural,1.0,1.0,-0.138112,-0.756884
46,MT,Privada,Urbana,0.998776758409786,1.0,0.762192,0.747638
47,MT,Publica,Rural,0.9994121105232217,0.9991181657848325,-0.2663085,-0.20563199999999998
48,MT,Publica,Urbana,0.9997647366357338,0.9996340347666972,-0.137926,-0.020452
49,PA,Privada,Rural,1.0,1.0,0.1130865,0.7880855
50,PA,Privada,Urbana,0.9992429977289932,0.9992429977289932,0.480751,0.653323
51,PA,Publica,Rural,0.9996940856560164,0.9996600951733514,-0.457108,-0.4562155
52,PA,Publica,Urbana,0.9997026310685888,0.9996638438166656,-0.208489,-0.055743
53,PB,Privada,Rural,1.0,1.0,0.214937,0.497895
54,PB,Privada,Urbana,1.0,0.9986320109439124,0.7096585,0.7623985
55,PB,Publica,Rural,0.9994019138755981,0.9990031897926634,-0.3244275,-0.2776995
56,PB,Publica,Urbana,0.9997246241119128,0.9997246241119128,-0.1955095,-0.085313
57,PE,Privada,Urbana,1.0,1.0,0.7087295,0.8196485
58,PE,Publica,Rural,0.999681548945927,0.9995541685242978,-0.085539,-0.098764
59,PE,Publica,Urbana,0.9998238018525977,0.9995343334675796,-0.0631925,0.054905999999999996
60,PI,Privada,Rural,1.0,1.0,-0.14444849999999998,0.08841199999999999
61,PI,Privada,Urbana,0.9996976111279104,0.9996976111279104,0.885789,0.88855
62,PI,Publica,Rural,0.9996365838885524,0.9997577225923683,-0.23253,-0.243579
63,PI,Publica,Urbana,0.9997879858657244,0.9996819787985866,0.067262,0.132688
64,PR,Privada,Rural,1.0,1.0,0.763779,0.810891
65,PR,Privada,Urbana,1.0,1.0,0.940895,0.81867
66,PR,Publica,Rural,1.0,0.9998237885462555,0.272443,0.223045
67,PR,Publica,Urbana,0.9998432165005923,0.9997996655285346,0.2847945,0.3395195
68,RJ,Privada,Rural,1.0,1.0,0.745699,0.7592924999999999
69,RJ,Privada,Urbana,1.0,1.0,0.835047,0.7852005
70,RJ,Publica,Rural,0.9994732221246707,0.9994732221246707,-0.13419,-0.045273
71,RJ,Publica,Urbana,0.999632497938403,0.9995249363593991,-0.0396855,0.097716
72,RN,Privada,Rural,1.0,1.0,0.955336,1.0007665000000001
73,RN,Privada,Urbana,0.9980184940554822,0.9993394980184941,0.6522669999999999,0.7585985
74,RN,Publica,Rural,0.9994969818913481,1.0,-0.44787699999999997,-0.39646099999999995
75,RN,Publica,Urbana,0.9998388071730808,0.9993552286923232,-0.285112,-0.180725
76,RO,Privada,Rural,1.0,1.0,0.310997,0.280475
77,RO,Privada,Urbana,1.0,1.0,0.777992,0.8309965
78,RO,Publica,Rural,1.0,0.999163179916318,-0.1429425,-0.14941349999999998
79,RO,Publica,Urbana,0.9998002496878902,0.9997003745318352,-0.070992,-0.007357
80,RR,Privada,Urbana,1.0,1.0,0.594126,0.671587
81,RR,Publica,Rural,0.9987531172069826,0.9981296758104738,-0.789106,-0.8735580000000001
82,RR,Publica,Urbana,0.9991602284178703,0.9984884111521666,-0.26905599999999996,-0.242877
83,RS,Privada,Rural,1.0,1.0,0.8922495,0.5688074999999999
84,RS,Privada,Urbana,1.0,1.0,1.040669,0.970866
85,RS,Publica,Rural,0.9998446963814257,0.9995340891442771,0.11551,0.120756
86,RS,Publica,Urbana,0.9994831341759066,0.9992739265804403,0.130554,0.27389
87,SC,Privada,Rural,1.0,1.0,1.1355665,1.0053684999999999
88,SC,Privada,Urbana,0.9987893462469734,0.9963680387409201,1.21223,1.0185505
89,SC,Publica,Rural,0.9995408631772268,0.9995408631772268,0.1903185,0.1505805
90,SC,Publica,Urbana,0.9996855769662669,0.9995358517121082,0.261402,0.315483
91,SE,Privada,Rural,1.0,1.0,0.454702,0.822056
92,SE,Privada,Urbana,1.0,0.9992997198879552,0.551847,0.624436
93,SE,Publica,Rural,0.9995760915642221,0.9987282746926663,-0.30683649999999996,-0.3000545
94,SE,Publica,Urbana,0.9998837479655894,0.9997093699139735,-0.229766,-0.133737
95,SP,Privada,Rural,1.0,1.0,0.865566,0.810039
96,SP,Privada,Urbana,0.9988009592326139,1.0,0.9109149999999999,0.9106145
97,SP,Publica,Rural,1.0,0.9998519834221433,0.22135149999999998,0.2838905
98,SP,Publica,Urbana,0.9996623960583516,0.9995694326541297,0.137091,0.27286
99,TO,Privada,Rural,1.0,1.0,0.21257,0.03233
100,TO,Privada,Urbana,1.0,1.0,0.835121,0.847054
101,TO,Publica,Rural,1.0,1.0,-0.317155,-0.309766
102,TO,Publica,Urbana,0.9996739940387481,0.9996274217585693,-0.072749,-0.018207
