,UF_NOME,DEPENDENCIA_NOME,URB_NOME,LOCALIZACAO_NOME,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,PROFICIENCIA_MT,PROFICIENCIA_LP
71,MS,Publica,Capital,Rural,1.0,1.0,-0.1522385,-0.5301195000000001
72,MS,Publica,Capital,Urbana,1.0,1.0,-0.20411800000000002,-0.668722
73,MS,Publica,Interior,Rural,1.0,1.0,-0.066918,-0.398319
74,MS,Publica,Interior,Urbana,1.0,1.0,0.0763925,-0.1087065
75,MT,Privada,Capital,Urbana,1.0,1.0,0.398169,0.224032
76,MT,Privada,Interior,Rural,1.0,1.0,0.8153630000000001,0.30464
77,MT,Privada,Interior,Urbana,1.0,1.0,0.781586,0.56172
78,MT,Publica,Capital,Rural,1.0,1.0,-0.020421,-0.21728599999999998
79,MT,Publica,Capital,Urbana,1.0,1.0,-0.126507,-0.020664
80,MT,Publica,Interior,Rural,1.0,1.0,-0.1240335,-0.1510185
81,MT,Publica,Interior,Urbana,1.0,1.0,-0.13517200000000001,-0.19555699999999998
82,PA,Privada,Capital,Urbana,1.0,1.0,0.527225,0.371662
83,PA,Privada,Interior,Rural,1.0,1.0,-0.402601,-0.40221850000000003
84,PA,Privada,Interior,Urbana,1.0,1.0,0.266977,0.229711
85,PA,Publica,Capital,Rural,1.0,1.0,-0.963433,-0.834687
86,PA,Publica,Capital,Urbana,1.0,1.0,-0.22818100000000002,-0.4495255
87,PA,Publica,Interior,Rural,1.0,1.0,-0.041557,-0.37105
88,PA,Publica,Interior,Urbana,1.0,1.0,-0.4410525,-0.417401
89,PB,Privada,Capital,Urbana,1.0,1.0,0.885761,0.5495455
90,PB,Privada,Interior,Rural,1.0,1.0,0.528484,0.226706
91,PB,Privada,Interior,Urbana,1.0,1.0,0.57476,0.343115
92,PB,Publica,Capital,Urbana,1.0,1.0,0.054853,-0.1841895
93,PB,Publica,Interior,Rural,1.0,1.0,-0.032284,-0.099944
94,PB,Publica,Interior,Urbana,1.0,1.0,0.013415,-0.230973
95,PE,Privada,Capital,Urbana,1.0,1.0,0.534002,0.330853
96,PE,Privada,Interior,Rural,1.0,1.0,0.305938,0.189823
97,PE,Privada,Interior,Urbana,1.0,1.0,0.137161,0.185064
98,PE,Publica,Capital,Urbana,1.0,1.0,-0.142648,-0.0914875
99,PE,Publica,Interior,Rural,1.0,1.0,0.58617,-0.088729
100,PE,Publica,Interior,Urbana,1.0,1.0,0.307483,-0.364635
101,PI,Privada,Capital,Urbana,1.0,1.0,0.639332,0.630968
102,PI,Privada,Interior,Urbana,1.0,1.0,0.898486,0.514925
103,PI,Publica,Capital,Rural,1.0,1.0,0.129114,0.048917
104,PI,Publica,Capital,Urbana,1.0,1.0,-0.267684,-0.344878
105,PI,Publica,Interior,Rural,1.0,1.0,0.451998,-0.138804
106,PI,Publica,Interior,Urbana,1.0,1.0,-0.270099,-0.535533
