ID_REGIAO;ID_UF;ID_AREA;IN_PUBLICA;ID_LOCALIZACAO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;PROFICIENCIA_MT;PROFICIENCIA_LP
4;41;1;1;1;1;1;1.212515;0.134529
4;41;1;1;1;1;1;-0.961196;-0.697846
4;41;1;1;1;0;0;;
4;41;1;1;1;1;1;0.049737;1.014057
4;41;1;1;1;1;1;0.987532;0.758868
4;41;1;1;1;1;1;1.341342;1.023408
4;41;1;1;1;0;0;;
4;41;1;1;1;0;0;;
4;41;1;1;1;1;1;-0.276946;1.204498
4;41;1;1;1;1;1;-0.116474;-0.450608
4;41;1;1;1;1;1;-0.250919;-0.041268
4;41;1;1;1;0;0;;
4;41;1;1;1;1;1;0.921149;0.399011
4;41;1;1;1;0;1;0.167397;
4;41;1;1;1;1;1;0.300325;0.738467
4;41;1;1;1;1;1;0.061904;1.345499
4;41;1;1;1;0;0;;
4;41;1;1;1;0;1;0.404046;
4;41;1;1;1;0;0;;
4;41;1;1;1;1;1;-0.329869;0.738467
4;41;1;1;1;1;1;-0.463791;-0.48188
4;41;1;1;1;0;0;;
4;41;1;1;1;1;1;0.57317;-0.009021
4;41;1;1;1;1;1;-0.230753;-0.04595
4;41;1;1;1;0;0;;
4;41;1;1;1;1;1;-0.283269;0.216425
4;41;1;1;1;1;1;0.517561;0.179934
4;41;1;1;1;1;1;0.4864;0.043612
4;41;1;1;1;0;0;;
4;41;1;1;1;0;1;1.025118;
4;41;1;1;1;1;1;1.04631;0.563916
4;41;1;1;1;1;1;0.433291;0.145744
4;41;1;1;1;1;1;-1.087117;-1.045521
4;41;1;1;1;0;0;;
4;41;1;1;1;1;0;;-0.329604
4;41;1;1;1;1;1;-1.567516;-0.759049
4;41;1;1;1;1;1;0.167397;-0.986312
4;41;1;1;1;1;1;0.279801;0.933684
4;41;1;1;1;0;0;;
4;41;1;1;1;1;1;-0.392721;-0.125845
4;41;1;1;1;1;1;1.117216;0.717782
