NO_REGIAO;CO_UF;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;IN_AGUA_POTAVEL;IN_ENERGIA_INEXISTENTE;IN_BIBLIOTECA;IN_LABORATORIO_CIENCIAS;IN_LABORATORIO_INFORMATICA;IN_COMPUTADOR;IN_EQUIP_IMPRESSORA;IN_EQUIP_TV;QT_EQUIP_TV;IN_EQUIP_LOUSA_DIGITAL;QT_EQUIP_LOUSA_DIGITAL;IN_EQUIP_MULTIMIDIA;QT_EQUIP_MULTIMIDIA;IN_DESKTOP_ALUNO;QT_DESKTOP_ALUNO;IN_COMP_PORTATIL_ALUNO;QT_COMP_PORTATIL_ALUNO;IN_INTERNET;IN_INTERNET_ALUNOS;IN_MATERIAL_PED_MULTIMIDIA
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;4.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;18.0;0.0;0.0;1.0;9.0;1.0;42.0;1.0;45.0;1.0;1.0;1.0
Sul;41;4.0;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;20.0;0.0;0.0;1.0;3.0;1.0;6.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;6.0;0.0;0.0;1.0;4.0;1.0;24.0;1.0;32.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;1.0;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;3.0;1.0;6.0;1.0;3.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;6.0;0.0;0.0;1.0;3.0;1.0;55.0;1.0;10.0;1.0;1.0;0.0
Sul;41;1.0;1;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;5.0;0.0;0.0;1.0;4.0;1.0;16.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;13.0;0.0;0.0;1.0;4.0;1.0;22.0;1.0;24.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;6.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;2;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;6.0;0.0;0.0;1.0;4.0;1.0;31.0;1.0;22.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;7.0;0.0;0.0;1.0;4.0;1.0;19.0;1.0;22.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;8.0;0.0;0.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;2.0;1.0;4.0;1.0;4.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;11.0;0.0;0.0;0.0;0.0;1.0;43.0;1.0;11.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;4.0;1.0;4.0;1.0;0.0;1.0
Sul;41;4.0;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;5.0;0.0;0.0;1.0;3.0;1.0;25.0;1.0;3.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;5.0;1.0;0.0;1.0
Sul;41;1.0;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;14.0;0.0;0.0;1.0;3.0;1.0;6.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;14.0;0.0;0.0;1.0;3.0;1.0;25.0;1.0;27.0;1.0;1.0;1.0
Sul;41;4.0;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;2.0;1.0;10.0;0.0;0.0;1.0;1.0;0.0
Sul;41;1.0;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;1.0;1.0;14.0;0.0;0.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;25.0;1.0;15.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;2.0;1.0;16.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;4.0;0.0;0.0;1.0;2.0;1.0;20.0;1.0;7.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;1.0;1.0;9.0;0.0;0.0;1.0;1.0;0.0
Sul;41;4.0;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;1.0;1.0;1.0;3.0;1.0;3.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;3.0;1.0;28.0;1.0;28.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;15.0;1.0;1.0;1.0;7.0;1.0;23.0;1.0;26.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;88888.0;0.0;0.0;1.0;3.0;1.0;28.0;1.0;32.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0;32.0;1.0;2.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;88888.0;0.0;0.0;1.0;9.0;1.0;22.0;1.0;20.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;22.0;0.0;0.0;1.0;10.0;1.0;42.0;1.0;67.0;1.0;1.0;1.0
Sul;41;4.0;1;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;5.0;0.0;0.0;1.0;3.0;1.0;12.0;0.0;0.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;11.0;0.0;0.0;1.0;8.0;1.0;18.0;1.0;61.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;10.0;0.0;0.0;1.0;5.0;1.0;7.0;1.0;2.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;11.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;88888.0;0.0;0.0;1.0;6.0;1.0;20.0;1.0;52.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;10.0;0.0;0.0;1.0;13.0;1.0;5.0;1.0;26.0;1.0;1.0;1.0
Sul;41;4.0;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;6.0;1.0;12.0;1.0;70.0;1.0;45.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;10.0;0.0;0.0;1.0;10.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0
Sul;41;1.0;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;17.0;0.0;0.0;1.0;5.0;0.0;0.0;1.0;3.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;6.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;2;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;88888.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;8.0;0.0;0.0;1.0;3.0;1.0;27.0;1.0;14.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;88888.0;0.0;0.0;1.0;4.0;1.0;13.0;1.0;21.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;9.0;0.0;0.0;1.0;2.0;1.0;15.0;1.0;12.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;8.0;0.0;0.0;1.0;5.0;1.0;16.0;1.0;28.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;20.0;0.0;0.0;1.0;2.0;1.0;24.0;1.0;12.0;1.0;1.0;1.0
Sul;41;3.0;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;1.0;30.0;1.0;34.0;1.0;2.0;1.0;24.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;30.0;0.0;0.0;1.0;8.0;1.0;83.0;1.0;38.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;10.0;0.0;0.0;1.0;2.0;1.0;10.0;1.0;1.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;5.0;0.0;0.0;1.0;2.0;1.0;18.0;1.0;1.0;1.0;1.0;1.0
Sul;41;1.0;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;7.0;0.0;0.0;1.0;11.0;1.0;11.0;0.0;0.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;23.0;0.0;0.0;1.0;3.0;1.0;38.0;1.0;49.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;7.0;0.0;0.0;1.0;3.0;1.0;20.0;1.0;45.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;2.0;1.0;16.0;1.0;12.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;8.0;0.0;0.0;1.0;3.0;1.0;23.0;1.0;30.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;23.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;6.0;0.0;0.0;1.0;4.0;1.0;26.0;1.0;32.0;1.0;1.0;0.0
Sul;41;;2;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;9.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;20.0;0.0;0.0;1.0;1.0;1.0;31.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;1.0;11.0;1.0;2.0;1.0;0.0;0.0
Sul;41;1.0;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;11.0;1.0;11.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;88888.0;0.0;0.0;1.0;3.0;1.0;5.0;1.0;87.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;11.0;0.0;0.0;1.0;4.0;1.0;14.0;1.0;0.0;1.0
Sul;41;;2;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;2.0;1.0;22.0;1.0;8.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;5.0;0.0;0.0;1.0;2.0;1.0;24.0;0.0;0.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;10.0;0.0;0.0;1.0;4.0;1.0;39.0;1.0;31.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;14.0;0.0;0.0;1.0;4.0;1.0;30.0;1.0;30.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;13.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;8.0;0.0;0.0;1.0;4.0;1.0;19.0;1.0;35.0;1.0;1.0;0.0
Sul;41;4.0;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;1.0;4.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;0.0;0.0;1.0;88888.0;1.0;20.0;1.0;27.0;1.0;1.0;1.0
Sul;41;1.0;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;8.0;1.0;1.0;1.0;8.0;1.0;30.0;1.0;41.0;1.0;1.0;0.0
Sul;41;;2;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;7.0;0.0;0.0;1.0;7.0;1.0;25.0;1.0;14.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;12.0;1.0;8.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;24.0;1.0;41.0;1.0;1.0;0.0
Sul;41;4.0;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;8.0;0.0;0.0;1.0;1.0;1.0;9.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;8.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;1.0;38.0;1.0;36.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;13.0;0.0;0.0;1.0;2.0;1.0;21.0;1.0;16.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;10.0;0.0;0.0;1.0;5.0;1.0;41.0;1.0;40.0;1.0;1.0;1.0
Sul;41;4.0;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;7.0;0.0;0.0;1.0;2.0;1.0;8.0;0.0;0.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;88888.0;0.0;0.0;1.0;1.0;1.0;33.0;0.0;0.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;0.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;11.0;0.0;0.0;1.0;5.0;1.0;21.0;1.0;39.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;3.0;1.0;7.0;1.0;1.0;1.0;28.0;1.0;2.0;1.0;1.0;0.0
Sul;41;4.0;1;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;6.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0;6.0;0.0;0.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;11.0;0.0;0.0;1.0;8.0;1.0;22.0;1.0;53.0;1.0;1.0;1.0
Sul;41;;1;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;4.0;1.0;19.0;1.0;16.0;1.0;1.0;0.0
Sul;41;;1;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
